term,pos,notes,is_case_sensitive,translation_ja,notes_ja
Desert of Death,noun,,false,死の砂漠,
Deterministic mode,noun,,false,決定論モード,
Dominant,noun,,false,族長,"""Winds of Fate"" で使用されている。
""flight"" のリーダー。
集団での狩猟の能力を競う厳しい試練と、""contention"" と呼ばれる軍事的統率力を競う試練によって選ばれる。"
Dorest,noun,,false,Dorest,最も北にある人間の都市。
Drain,noun,,false,生命吸収,特殊武器の一つ。
Drake,noun,,false,ドレーク,"種族の一つ。
標準の時代の党派の一つでもある。"
Drake Arbiter,noun,,false,ドレークの裁定者,
Drake Warden,noun,,false,ドレークの長官,
Drogan,noun,,false,Drogan,"Parthynの町の守備隊の隊長。
「闇へ堕ちて」"
Dulatus Hills,noun,,false,Dulatus丘陵,"地名。
中央大平原と接している、ゆるやかな起伏の続く丘陵地帯です。多くの家畜と農産物が生産されています。"
Dulcatulos,noun,,false,Dulcatulos,"ドワーフ。
「Thursaganの槌」"
Dune Alchemist,noun,,false,デューンの秘術師,"""Alchemist"" は一般的には「錬金術師」だが、デューンの場合は黄金ではなく究極の毒物の生成を目的としているようなので、「秘術師」としてみた。検討の余地あり。"
Dunefolk,pronoun,,false,デューンフォーク,
Durstorn,noun,,false,Durstorn,"ドワーフ。
「炎の笏」"
Dwarf,noun,,false,ドワーフ,種族の一つ。
Dwarven Doors,noun,,false,ドワーフの戸口,"ドワーフと人間の街。交易地。
王位継承者の13章を指す場合は「ドワーフ王国の入り口」"
Dwarvish Thunderer,noun,,false,ドワーフの銃撃兵（新案: ドワーフの雷撃兵）,「銃」という単語をできるだけ避けたい
Dwarvish Thunderguard,noun,,false,ドワーフの熟練銃撃兵（新案: ドワーフの雷撃衛兵）,「銃」という単語をできるだけ避けたい
Earl Lanbec'h,noun,,false,Lanbec'h 伯爵,「黒眼の子‎」
Eastern Invasion,noun,,false,東部侵略,"メインラインキャンペーンの一つ。
ei"
Elandin,noun,,false,Elandin,"エルフ。
「東部侵略」"
Eldred,noun,,false,Eldred,"王子。AsheviereとGarard II世の息子。
「Delfadorの回顧録」。
「王位継承者」の最初に出てきてすぐDelfadorに討たれた皇子。"
Elenia,noun,,false,Elenia,"エルフ。
「北部の再興」"
Elense,noun,,false,Elense,"Elensefarの別名？
←どうも、都市の名前がElensefarで、周辺の町（Carcynなど）を含む国の名前は正式にはElense city-stateなのではないだろうか。"
Elensefar,noun,,false,Elensefar,"騎兵が多く所属する大都市。
ある時代には独立国家だったり、Wesnothに併合されて都市になってたり。"
Elensiria,noun,,false,Elensiria,Lintanirの森にあるエルフ族の首都。
Elilmaldur-Rithrandil,noun,,false,Elilmaldur-Rithrandil,"ウーズ。
「Wesnothの起源」"
Eliomir,noun,,false,Eliomir,"エルフ。
「南部防衛隊」"
Eloh,noun,,false,Eloh,「燃える太陽の下で」
Elurin,noun,,false,Elurin,"エルフ。
「Thursaganの槌」"
Elvish Avenger,noun,,false,エルフの復讐者,
Elvish Druid,noun,,false,エルフのドルイド僧,
Elvish Ranger,noun,,false,エルフのレンジャー,
Elyssa,noun,,false,Elyssa,「燃える太陽の下で」に登場する唯一の魔術師。
El’rien,noun,,false,El’rien,北部エルフ族の首長（httt）
End Turn button,noun,,false,ターン終了ボタン,"右パネルの一番下にあるボタン。
このボタンを押すと、ターンを終了する。"
Engineer,noun,,false,技術者,"なぜか東北弁で話す。
「東部侵略」"
Eonihar,noun,,false,Eonihar,「Wesmere の伝説」
Erlornas,noun,,false,Erlornas,"エルフの貴族。
「オークの襲撃」"
Eryssa,noun,,false,Eryssa,"エルフの王女。
「北部の再興」"
Esanoo,noun,,false,Esanoo,"マーマン。
「燃える太陽の下で」"
Estmark Hills,noun,,false,Estmark丘陵,大いなる川の南側、Weldyn川の東側にそびえる広大な丘陵地帯です。Weldyn川に近い最北端の地域は何度もWesnothの人々の入植が行われましたが、しかし王国の管理は脆弱で、山賊行為が横行しています。
Ethiliel,noun,,false,Ethiliel,"エルフ。
「南部防衛隊」"
Event handlers,noun,,false,イベントハンドラ,イベントが発生したときに特定の処理を与えるための記述。
Expendable leader,pronoun,,false,エクスペンダブルリーダー,
Expert level,pronoun,,false,達人レベル,
FFA,noun,,false,,free for allの略。マルチプレイヤーゲームで、チーム戦ではなく各プレイヤーが敵対している場合に用いられる。
Falcon,noun,,false,隼,種族の一つ。
Far North,noun,,false,極北,"黒眼の子の舞台。中心山脈よりも北の地域。
原文の表記にも割とブレがあるので、無理に統一する必要も無い気がする。"
Farzi,noun,,false,Farzi,極北の都市。
Father Morvin,noun,,false,Morvin 神父,「北部の再興」
Feeding,noun,,false,摂食,ユニットが持つ能力の一つ。
First Strike,noun,,false,先制,特殊武器の一つ。防御時にも先に攻撃を開始する。
Flar'Tar,noun,,false,Flar'Tar,「黒眼の子‎」
Flat,noun,,false,平地,地形の一つ。
fledgling,noun,"A young drake, bipedally mobile yet still unable to fly.
They have left the hatchery but usually do not roam far beyond the eyrie.",false,若きドレーク,"二足歩行が可能だが、まだ飛ぶことができない若いドレーク。
孵化場から出たが、通常、巣から遠く離れることはない。

「若きドレーク」と訳しているが、要検討。
他の候補は「青年ドレーク」「若年ドレーク」「駆け出し」「巣立ちドレーク」など。"
Fog of War,noun,,false,戦雲（霧）,「戦場の霧」（おそらくクラウゼヴィッツ「戦争論」由来）と訳されることもある。
Foolish Hero,noun,,false,愚かな勇者,「闇へ堕ちて」
Ford of Abez,noun,,false,Abezの浅瀬,"大いなる川に存在する浅瀬の1つ。
大いなる川を船無しで渡ることのできる最も東の地点です。どちらの方向に向かうにせよ、侵略を目的とした軍隊が伝統的に良く使う経路です。"
Ford of Alyas,noun,,false,Alyas の渡り場,"Ka'lian北西にある。
Fordは通常浅瀬と訳されるが、マップを見ると浅くないので渡り場という訳を取った。"
Ford of Tifranur,noun,,false,Tifranur の渡り場,Ka'lian 南東にある。 Fordは通常浅瀬と訳されるが、マップを見ると浅くないので渡り場という訳を取った。
Fords,noun,,false,川瀬,地形の一つ。
Foreground,noun,,false,メイン,エディタのパレットのうち、現在使用されている方のこと。サブと切り替えることができる。
Forest,noun,,false,森,基本地形の一つ。
Forest of Thelien,noun,,false,Thelienの森,極北にある森。
Forest of Wesmere,noun,,false,Wesmereの森,北にある森。エルフ族の住処。
Fort Tahn,noun,,false,Tahn砦,Wesnothの南の国境近くにある砦。
Frosty Wastes,noun,,false,凍てつく荒野,極北の地名。
GUI,noun,,false,GUI,Graphical User Interface
Galdrad,noun,,false,Galdrad,"チュートリアルの教官。
「王位継承者」にも登場する。"
Galenor,noun,,false,Galenor,「Wesmere の伝説」
Galtrid,noun,,false,Galtrid,「Wesmere の伝説」
Galun,noun,,false,Galun,"ドレークを大陸へと導いた ""dominant"" のドレーク。
""Wings of Victory（勝利の翼）"" の主人公。"
Garak,noun,,false,Garak,"護衛兵隊長。
「燃える太陽の下で」"
Garard,noun,,false,Garard,"Wesnothの王の名前。
Garard I世とGarard II世の二人いる。"
Garard I,noun,,false,Garard I世,「Delfadorの回顧録」
Garard II,noun,,false,Garard II世,"Garard I世の息子。
「Delfadorの回顧録」
「王位継承者」"
General,noun,,false,将軍,
Gharlsa,noun,,false,Gharlsa,"オーク。
「オークの襲撃」"
Ghost,noun,,false,ゴースト、幽霊、亡霊,ユニット名をあらわす場合はゴースト。それ以外は、状況に応じて使い分ける。
Glamdrol,noun,,false,Glamdrol,オークの有力部族の首都。
Glonoin,noun,,false,Glonoin,"ドワーフ。
「炎の笏」"
Glyn’s Forest,noun,,false,Glynの森,森。Tathの近くにある。
Golden Age,noun,,false,黄金時代,"Wesnothが非常に栄えていた時代で、200-350YW頃。
また、UtBSやその続編では200-350YWではなく単にWesnothが栄えていた時代のことを意味する。"
Gork,noun,,false,Gork,"オークのシャーマン。
「黒眼の子‎」"
Gramdrol,noun,,false,Gramdrol,オークの一部族の首都
Graur-Tan,noun,,false,Graur-Tan,"オーク。
「Wesmere の伝説」"
Great Central Plain,noun,,false,中央大平原,"大きな平原。
エルフにとってはあまり価値のない土地で、緑の島からやってきたHaldric I世と人間族の定住が認められた。"
Great Chief,noun,,false,大帝,オークの複数の族長（chieftain）を支配下におく族長をこう呼ぶ。
Great Chieftain,noun,,false,大帝,
Great Fall,noun,,false,大いなる滅び,「滅び」を参照
Great Horde,noun,,false,Great Horde,黒眼のKarunが整備したオーク族のおきて。どの部族の者であろうと、あらゆるオークはGreat Hordeの召集に応じる義務がある。
Great Mage,noun,,false,大魔術師,
Great Northern Forest,noun,,false,北部大森林,Lintanirの森も参照。
Great Southern Desert,noun,,false,南部大砂漠,UtBSの時代、Wesnoth人が打ち上げた第二の太陽 Naia の影響で、大陸南部の森は死滅し、広大な砂漠となった。
Green Isle,noun,,false,緑の島,Wesnothの初代王、Haldric I世とWesnoth人の故郷の島。
Green Swamp,noun,,false,緑の沼地,Haldricがドラゴン Shek’kahan を討伐した地。
Greenwood,noun,,false,緑の森,極北にある森。
Grey Woods,noun,,false,灰色森,"地名。
Wesnothの荒野の中心に位置する大きな森で、CarcynとAldrilの間に位置し、幽霊が出ると一般に考えられています。"
Grog,noun,,false,Grog,"トロル。
「燃える太陽の下で」"
Growloff,noun,,false,Growloff,「死の海」
Grug,noun,,false,Grug,「東部侵略」
Gryphon,noun,,false,グリフォン,種族の一つ。陸上の捕食者と猛禽類の性質を併せ持つ。
Gryphon Mountain,noun,,false,グリフォンの山,グリフォンの住む山
Grüü,noun,,false,Grüü,"トロル。
「黒眼の子‎」"
Gwabbo,noun,,false,Gwabbo,「死の海」
Gweddry,noun,,false,Gweddry,「東部侵略」の主役。
HP,noun,,false,HP,"(1) ヒットポイント（Hit Point）
(2) ヒューレット・パッカード（Hewlett-Packard）
(3) 馬力（Horse Power）
(4) ホームページ（Home Page）のことだなんて言っているのはどこのどいつだ。"
Haggid-Dargor,noun,,false,Haggid-Dargor,中心山脈を表すオーク族の言葉。
Halberdier,noun,,false,ハルバード兵,"槍兵系の訳語の統一感を出すため「兵」で統一。
ハルバード使い。"
Haldiel,noun,,false,Haldiel,"忠義の騎兵。
「王位継承者」"
Haldric,noun,,false,Haldric,"Wesnoth王国の国王によくある名前。
Haldric VII世までいる。
Haldric I世のことを指す場合が多い。"
Haldric I,noun,,false,Haldric I世,"Wesnoth王国の建国者。
建国後、年を重ねるごとに性格が悪くなった。
「Wesnothの起源」"
Haldric II,noun,,false,Haldric II世,"Haldric I世の息子で２代目国王。
「炎の笏」
「Wesmere の伝説」"
Haldric IV,noun,,false,Haldric IV世,"「闇へ堕ちて」が始まるちょっと前のWesnothの王。
後継者がいなかったため、死去によりWesnoth王国が分裂した。"
Haldric VII,noun,,false,Haldric VII世,"「南部防衛隊」の頃のWesnothの王。
KonradとLi'sarの孫になるのかな。"
Halo,noun,,false,ヘイロー（Halo）,ユニットのいるヘクス中央に重ねて表示される画像のこと。照明とか暗転能力などの視覚効果に使われる。
Hamel,noun,,false,Hamel,"Knalgaの君主。
「北部の再興」
「Thursaganの槌」"
Hard level,pronoun,,false,上級レベル,
Harper,noun,,false,Harper,"Baldrasの姪。
「自由‎」"
Healers,noun,,false,ヒーラー,"healer を参照。
（エルフの呪術師・ドルイド僧・シェード、白魔術師、光の魔術師、聖騎士）"
Heart Mountains,noun,,false,中心山脈,"Arkan-thoriaの近くにある山脈。
ドワーフとトロルの住処。
オークは「Haggid-Dargor」と呼び、領有権を主張している。"
Heartfangs,noun,,false,山脈の牙,中心山脈の中でも特に険しい山々。
Heir to the Throne,noun,,false,王位継承者,"メインラインキャンペーンの一つ。
httt。"
Helicrom,noun,,false,Helicrom,"闇の貴族
「自由‎」"
Hex,noun,,false,ヘクス,六角形のマス。
Hidel,noun,,false,Hidel,"エルフ。
Eryssaの守護者。
「北部の再興」"
High Council of Archmagi,noun,,false,大魔導高等評議会,Alduin島の魔術アカデミーのことらしい。
High Elves,noun,,false,ハイエルフ,"極北のあたりに住むエルフ。
北部エルフ。"
Hills,noun,,false,丘,基本地形の一つ。
Holy Water,noun,,false,聖水,アンデッドに良く効くあれ。
Horse Plains,noun,,false,馬平原,土地名。優秀な馬の産地。クランという人間の氏族が住む。
Howgarth III,noun,,false,Howgarth III世,北部同盟の護民長。「黒眼の子‎」
Huraldur,noun,,false,Huraldur,「Wesmere の伝説」
Ignored List,noun,,false,無視リスト,
Iliah-Malal,noun,,false,Iliah-Malal,「Delfadorの回顧録」
Illuminates,noun,,false,照明,ユニットが持つ能力の一つ。
Impact,noun,,false,打撃,ダメージ型の一つ。
Impassable,noun,,false,通行不能,地形の一つ。通行できない。
Inky,noun,,false,Inky,「死の海」
Intendant,noun,"Advisors and lieutenants of a dominant, usually one of each caste other than its own.",false,副官,"族長の助言者や補佐役で、通常は族長とは異なる ""caste"" から１人ずつ選出される。"
Intermediate level,pronoun,,false,中級レベル,
Irdya,noun,,false,Irdya,"Wesnothの世界全体の名前。
しかしながら、この単語「Irdya」はこの時代には非常にまれにしか使用されず、通常人々は「世界（the world）」とだけ呼ぶか、詩的表現として「広い緑の世界（the wide green world）」と言う。"
Iron-King Olgor,,,false,鉄の王 Olgor,マルチプレイヤーマップの設定に登場するオーク王。
Isle of Alduin,noun,,false,Alduin島,Alduinの小島とも。魔術師アカデミーがあり、Wesnoth全土から修行のため魔術師が集まってくる。
Islefolk,noun,,false,Islefolk,元から緑の島に住んでいた人々。
Ithelden,noun,,false,Ithelden,"エルフ。
「南部防衛隊」"
Jarek,noun,,false,Jarek,"熟練竜騎士。
援軍。
「南部防衛隊」"
Jetto,noun,,false,Jetto,"暗殺者。
「黒眼の子‎」"
Kai Krellis,noun,,false,Kai Krellis,"マーフォークの王（Kai）。
「死の海」の主役。"
Kaleh,noun,,false,Kaleh,"「燃える太陽の下で」の主役。
Kalehssar。"
Kalenz,noun,,false,Kalenz,"エルフの英雄。とある理由でとても長生き。
「Wesmere の伝説」
「Delfadorの回顧録」
「王位継承者」"
Kapou'e,noun,,false,Kapou'e,「黒眼の子‎」の主役。黒眼のKarunの息子。
Karrag,noun,,false,Karrag,"ドワーフのルーンマスター。
「Thursaganの槌」"
Ka’lian,noun,,false,Ka’lian,"エルフの評議会。
エルフの最高意思決定機関。"
Keh Ohn,noun,,false,Keh Ohn,"ドレーク。
「王位継承者」"
Keratur,noun,,false,Keratur,「燃える太陽の下で」
Kerlath,noun,,false,Kerlath,地図外の南部にある州。Kerlath州（Kerlath Province）
Keshan,noun,,false,Keshan,「死の海」
Khalifate,noun,,false,カリフェイト,"人間の一族。南の砂漠から来たらしい。
党派の一つ。"
Khazg Black-Tusk,noun,,false,黒い牙のKhazg,"オークの族長の1人。
ドワーフの戸口を壊滅させた。"
Khrakrahs,noun,,false,Khrakrahs,"ドラゴン。
Shek’kahanとは兄弟。
「炎の笏」ではファイアドラゴン
「東部侵略」ではスケルトンドラゴン"
Kindlefire,noun,"August, name of month",false,起炎,８月。起炎の月
King Addroran IX,noun,,false,王 Addroran IX世,"Southbayの国王。
「Wesnothの起源」"
King Eldaric IV,noun,,false,王 Eldaric IV世。,"Haldric 王子の父。
「Wesnothの起源」"
Kingdom of Wesnoth,noun,,false,Wesnoth王国,Haldric I世が開いた人間族の王国。その後「大陸」での最大勢力となるが「大いなる滅び」で文明もろとも滅びた。
Kior-Pur,noun,,false,Kior-Pur,"オーク。
「Wesmere の伝説」"
Knalga,noun,,false,Knalga,Knalgaの洞窟。ドワーフの住んでいる大洞窟（らしい）
Knalgan Alliance,noun,,false,ナルガン同盟,"標準の時代の党派の一つ。
ドワーフと人間の無法者の間に結ばれた同盟。
地名の翻訳の規則に従えば「Knalga 同盟」とされるところだが、伝統的に「ナルガン同盟」とされている。"
Konrad,noun,,false,Konrad,"Wesnothの王の名前。
二人いる。"
Konrad I,noun,,false,Konrad I世,"Konrad王とも。
「王位継承者」の主役。
「チュートリアル」"
Konrad II,noun,,false,Konrad II世,"Haldric VII世の次のWesnothの王。
「東部侵略」"
Krash,noun,,false,Krash,"ドレーク。
「北部の再興」"
Krawg,noun,,false,Krawg,"グリフォン。話すことができる。
「炎の笏」"
Kuhnar,noun,,false,Kuhnar,"ドワーフ。
「炎の笏」"
Lady Dionli,noun,,false,Lady Dionli,"エルフの評議会のメンバー。
「Wesnothの起源」"
Lady Jessene,noun,,false,女傑 Jessene,"Wesfolk の王女。
「Wesnothの起源」"
Lady Outlaw,noun,,false,無法者の姐御,「Wesnothの起源」
Lake Vrug,noun,,false,Vrug湖,中心山脈あたりにある湖。
Landar,noun,,false,Landar,"Kalenzの親友。
後に対立し、エルフは内戦状態になる。
「Wesmere の伝説」"
Language,noun,,false,言語,
Lawful,noun,,false,秩序,アラインメントの一つ。
Leadership,noun,,false,統率,能力の1つ。より低レベルのユニットを強化する。
Legend of Wesmere,noun,,false,Wesmereの伝説,"(1) メインラインキャンペーンの一つ。low
(2) Kalenzのことを指す場合もある"
Leollyn,noun,,false,Leollyn,「Delfadorの回顧録」
Li'sar,noun,,false,Li'sar,"王女。Asheviereの娘。
のちにWesnothの女王となる。
「王位継承者」のヒロイン。
「チュートリアル」"
Liberty,noun,,false,自由,"メインラインキャンペーンの一つ。
略称はl（1文字）"
Lich-Lord,noun,,false,リッチ君主,Wesfolkを支配していたリッチの君主たち。Jevyanが有名。
Lich-Lord Caror,noun,,false,リッチ君主 Caror,「炎と暗黒の書」の著者。「Wesnothの起源」
Lich-Lord Jevyan,noun,,false,リッチ君主 Jevyan,「Wesnothの起源」
Lich-Lord Lenvan,noun,,false,リッチ君主 Lenvan,"炎のルビーの持ち主。
 Wesfolkを緑の島に連れてきた。
「Wesnothの起源」"
Lieutenant,noun,,false,副官,"将軍（General）の副官という意味らしい。
中尉という意味もあるので、士官である。"
Liminal,noun,,false,薄明,アラインメントの一つ。
Linaera,noun,,false,Linaera,"銀魔術師。
「オークの襲撃」"
Lintanir,noun,,false,Lintanir,エルフ族の住む森。またはそこにある都市。
Lintanir Forest,noun,,false,Lintanirの森,
Lionel,noun,,false,Lionel,"Wesnoth王国の将軍。
「Delfadorの回顧録」
「王位継承者」"
Lmarig,noun,,false,Lmarig,極北の都市
Lobby,noun,,false,ロビー,マルチプレイヤーのロビー。
Lomarfel,noun,,false,Lomarfel,"エルフの騎兵。
「オークの襲撃」"
